,,,Downs,,,,,,Red Zone,,
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Kansas City Chiefs,17,205,107,52.20%,15,10,66.70%,69,41,59.40%
2,Tampa Bay Buccaneers,17,223,105,47.10%,16,9,56.30%,68,45,66.20%
3,Buffalo Bills,17,222,103,46.40%,22,11,50.00%,77,48,62.30%
4,Tennessee Titans,17,236,103,43.60%,24,15,62.50%,61,39,63.90%
5,Philadelphia Eagles,17,221,101,45.70%,24,11,45.80%,61,38,62.30%
6,Los Angeles Chargers,17,221,100,45.20%,34,22,64.70%,75,48,64.00%
7,Arizona Cardinals,17,221,100,45.20%,29,17,58.60%,65,39,60.00%
8,Dallas Cowboys,17,228,99,43.40%,24,14,58.30%,65,41,63.10%
9,Houston Texans,17,239,95,39.70%,21,9,42.90%,37,19,51.40%
10,Miami Dolphins,17,233,95,40.80%,22,12,54.50%,49,30,61.20%
11,Pittsburgh Steelers,17,239,93,38.90%,21,10,47.60%,50,27,54.00%
12,New England Patriots,17,209,91,43.50%,17,11,64.70%,63,39,61.90%
13,Los Angeles Rams,17,205,90,43.90%,19,10,52.60%,70,42,60.00%
14,Green Bay Packers,17,202,88,43.60%,22,13,59.10%,70,41,58.60%
15,Washington Football Team,17,224,87,38.80%,32,16,50.00%,51,26,51.00%
16,Indianapolis Colts,17,210,86,41.00%,29,18,62.10%,64,36,56.30%
17,Carolina Panthers,17,235,84,35.70%,34,14,41.20%,47,25,53.20%
18,New York Giants,17,230,84,36.50%,30,13,43.30%,38,17,44.70%
19,Minnesota Vikings,17,228,83,36.40%,22,12,54.50%,53,33,62.30%
20,Cleveland Browns,17,212,83,39.20%,29,12,41.40%,50,31,62.00%
21,Denver Broncos,17,213,82,38.50%,28,16,57.10%,53,29,54.70%
22,Cincinnati Bengals,17,207,82,39.60%,20,13,65.00%,52,31,59.60%
23,Baltimore Ravens,17,225,82,36.40%,27,18,66.70%,55,34,61.80%
24,Atlanta Falcons,17,211,82,38.90%,24,10,41.70%,54,29,53.70%
25,San Francisco 49ers,17,199,80,40.20%,20,10,50.00%,54,36,66.70%
26,New Orleans Saints,17,220,78,35.50%,21,11,52.40%,56,33,58.90%
27,New York Jets,17,212,77,36.30%,29,14,48.30%,51,28,54.90%
28,Las Vegas Raiders,17,206,77,37.40%,19,12,63.20%,60,31,51.70%
29,Jacksonville Jaguars,17,212,76,35.80%,31,18,58.10%,39,20,51.30%
30,Chicago Bears,17,216,75,34.70%,36,15,41.70%,48,23,47.90%
31,Detroit Lions,17,213,74,34.70%,41,21,51.20%,45,21,46.70%
32,Seattle Seahawks,17,193,72,37.30%,11,4,36.40%,48,31,64.60%
,League Total,,,,,,,,,,
